Nome,Data Fab,Data Val,Quant,MDD
12151003-CAPSULA CAFE TRES ESPR DECAF 8X10X8G,08-01-2024,08-03-2025,21500,705
12151003-CAPSULA CAFE TRES ESPR DECAF 8X10X8G,03-02-2024,03-04-2025,100,705
12151030-CAPSULA TRES CHAI LATTE 8X10X11G,01-12-2023,29-01-2025,36400,140
12151037-CAPSULA CAFE TRES RIT MOG PAUL 8X10X8G,03-02-2024,03-04-2025,"1.750,00",546
12151084-CAPSULA CAFE TRES ID COF ALEX A 8X10X8G,25-11-2023,23-01-2025,9200,019
12151092-CAPSULA CAFE 3C CER MIN ALUM V2 10X10X5G,22-01-2024,22-03-2025,"20.868,00",944
12151094-CAPSULA CAFE 3C INT ALUM V2 10X10X5G,09-02-2024,09-04-2025,"7.560,00",1447
12151095-CAPSULA CAFE 3C GOU DARK 8X10X8G,27-06-2023,25-08-2024,41800,001
12151098-CAPSULA CAFE 3C RIT CONGO 8X10X8G,03-04-2023,01-06-2024,19400,000
12151099-CAPSULA CAFE 3C RIT MEXICO 8X10X8G,10-12-2023,07-02-2025,49200,000
12151100-KIT CAPS CAFE ALUM 3C L4P3,26-06-2023,24-12-2024,"1.440,00",990
12151113-CAPSULA CAFE 3C STAR WARS M YODA 8X10X8G,27-10-2023,26-04-2025,26400,000
12151114-CAPSULA CAFE 3C STAR WARS VADER 8X10X8G,25-01-2024,25-07-2025,27200,000
12153010-CAPSULA CHA 3C MISTO HIBIS-MAC 8X10X3G,29-01-2024,29-03-2025,22500,061
"12153011-CAPSULA CHA 3C VERDE-LIM-GEN 8X10X3,5G",31-01-2024,31-03-2025,18200,025
12153014-CAPSULA CHA 3C NOIT TRANQ 8X10X3G,26-01-2024,26-03-2025,18200,000
12154007-CAPSULA CAFE CAPP TRES H DLEITE 8X10X11G,22-12-2023,19-02-2025,100,1112
12154007-CAPSULA CAFE CAPP TRES H DLEITE 8X10X11G,25-01-2024,25-03-2025,44100,1112
12154009-CAPSULA CAFE CAPP 3C 8X10X11G,09-10-2023,07-12-2024,200,8320
12154009-CAPSULA CAFE CAPP 3C 8X10X11G,19-12-2023,16-02-2025,"5.025,00",8320
12154009-CAPSULA CAFE CAPP 3C 8X10X11G,06-01-2024,06-03-2025,"13.920,00",8320
12154009-CAPSULA CAFE CAPP 3C 8X10X11G,08-01-2024,08-03-2025,"20.880,00",8320
12154009-CAPSULA CAFE CAPP 3C 8X10X11G,27-01-2024,27-03-2025,200,8320
12154013-CAPSULA CAFE CAPP TRES AVELA NF 8X10X11G,13-12-2023,10-02-2025,900,2310
12154013-CAPSULA CAFE CAPP TRES AVELA NF 8X10X11G,19-12-2023,16-02-2025,"1.256,00",2310
12154014-CAPSULA CAFE CAPP SC 8X10X11G,26-06-2023,24-08-2024,20000,033
12154019-CAPSULA CAPP VEG 3C 8X10X11G,05-08-2023,02-02-2025,26500,000
12156003-CAPSULA CAFE TRES LATTE MACCHIA 8X10X11G,01-11-2023,30-12-2024,3800,1110
12156003-CAPSULA CAFE TRES LATTE MACCHIA 8X10X11G,07-12-2023,04-02-2025,"3.337,00",1110
12156007-CAPSULA CAFE C-LEITE 3C BAILEYS 8X10X11G,25-11-2023,23-01-2025,87200,267
12156007-CAPSULA CAFE C-LEITE 3C BAILEYS 8X10X11G,28-11-2023,26-01-2025,31200,267
12156008-CAPSULA CAFE C-LEITE TRES NF 8X10X9G,20-11-2023,18-01-2025,46400,2072
12156008-CAPSULA CAFE C-LEITE TRES NF 8X10X9G,29-01-2024,29-03-2025,"1.440,00",2072
12156008-CAPSULA CAFE C-LEITE TRES NF 8X10X9G,30-01-2024,30-03-2025,1300,2072
12156009-CAPSULA CAFE C-LEITE 3C PINGADO 8X10X11G,25-10-2023,23-12-2024,91000,487
12156010-CAPSULA CAFE C-LEIT VEG 3C 8X10X11G,06-06-2023,04-12-2024,29100,000
12200001-ALIMENTO CASTAN ATDC ORIGINAL 12X1L,16-11-2023,15-11-2024,"10.648,00",53108
12200001-ALIMENTO CASTAN ATDC ORIGINAL 12X1L,18-11-2023,17-11-2024,"10.200,00",53108
12200001-ALIMENTO CASTAN ATDC ORIGINAL 12X1L,21-12-2023,20-12-2024,"5.100,00",53108
12200002-ALIMENTO CASTAN ATDC CHOCNUTS 12X1L,19-10-2023,18-10-2024,"1.581,00",34764
12200002-ALIMENTO CASTAN ATDC CHOCNUTS 12X1L,18-11-2023,17-11-2024,"2.040,00",34764
12200002-ALIMENTO CASTAN ATDC CHOCNUTS 12X1L,19-11-2023,18-11-2024,"11.220,00",34764
12200003-ALIMENTO CASTAN ATDC CAJU-COCO 12X1L,20-10-2023,19-10-2024,1200,20284
12200003-ALIMENTO CASTAN ATDC CAJU-COCO 12X1L,20-11-2023,19-11-2024,"5.788,00",20284
12200003-ALIMENTO CASTAN ATDC CAJU-COCO 12X1L,23-12-2023,22-12-2024,"6.120,00",20284
12200004-ALIMENTO CASTAN ATDC CAJU-PARA 12X1L,28-11-2023,27-11-2024,"2.810,00",19426
12200005-ALIMENTO CASTAN ATDC MIXED NUTS 12X1L,28-10-2023,27-10-2024,"2.105,00",8440
12200005-ALIMENTO CASTAN ATDC MIXED NUTS 12X1L,27-11-2023,26-11-2024,"2.040,00",8440
12200006-ALIMENTO AMENDOA ATDC 12X1L,26-10-2023,25-10-2024,100,43774
12200006-ALIMENTO AMENDOA ATDC 12X1L,24-11-2023,23-11-2024,"6.993,00",43774
12200006-ALIMENTO AMENDOA ATDC 12X1L,26-11-2023,25-11-2024,"10.200,00",43774
12200006-ALIMENTO AMENDOA ATDC 12X1L,29-12-2023,28-12-2024,"7.140,00",43774
12200008-ALIMENTO CASTAN ATDC CHOCNUTS 12X200ML,29-06-2023,28-06-2024,1500,1023
12200008-ALIMENTO CASTAN ATDC CHOCNUTS 12X200ML,22-06-2023,21-06-2024,14400,1023
12200008-ALIMENTO CASTAN ATDC CHOCNUTS 12X200ML,29-06-2023,28-06-2024,37200,1023
12200008-ALIMENTO CASTAN ATDC CHOCNUTS 12X200ML,30-06-2023,29-06-2024,"3.108,00",1023
12200009-ALIMENTO CASTAN ATDC CAJU ORIG 12X200ML,01-06-2023,31-05-2024,200,1234
12200009-ALIMENTO CASTAN ATDC CAJU ORIG 12X200ML,28-06-2023,27-06-2024,"1.526,00",1234
12200010-ALIMENTO CASTAN ATDC CAJ-AVEIA BAR 12X1L,27-11-2023,26-11-2024,200,38873
12200010-ALIMENTO CASTAN ATDC CAJ-AVEIA BAR 12X1L,30-11-2023,29-11-2024,"14.034,00",38873
12200010-ALIMENTO CASTAN ATDC CAJ-AVEIA BAR 12X1L,27-12-2023,26-12-2024,"6.120,00",38873
12200035-CREME ATDC CREMERIA VEG AMEN LV 12X200G,29-09-2023,28-09-2024,"3.115,00",2888
12200035-CREME ATDC CREMERIA VEG AMEN LV 12X200G,22-11-2023,21-11-2024,"3.996,00",2888
12200048-PASTA CASTANHA ATDC ORG CHOCNUTS 12X120G,25-11-2023,24-11-2024,82800,014
12200050-PASTA CASTANHA ATDC ORG ORIGINAL 12X120G,24-10-2023,23-10-2024,29800,000
12200061-BEBIDA VEG CAFE C-LEITE ATDC 3C 12X200ML,07-05-2023,06-05-2024,200,698
12200061-BEBIDA VEG CAFE C-LEITE ATDC 3C 12X200ML,28-09-2023,27-09-2024,"1.240,00",698
12200062-BEBIDA VEG CAPP ATDC 3C 12X200ML,08-05-2023,07-05-2024,800,396
12200062-BEBIDA VEG CAPP ATDC 3C 12X200ML,21-11-2023,20-11-2024,"1.116,00",396
12200065-SUPLEMENTO ALIM ATDC UCOF CARAM 6X220G,30-08-2023,29-08-2024,21400,122
12200065-SUPLEMENTO ALIM ATDC UCOF CARAM 6X220G,28-09-2023,27-09-2024,6700,122
12200066-SUPLEMENTO ALIM ATDC UCOF CARAM 6X14X10G,17-11-2023,16-11-2024,"1.004,00",018
12200066-SUPLEMENTO ALIM ATDC UCOF CARAM 6X14X10G,23-11-2023,22-11-2024,2800,018
12200067-SUPLEMENTO ALIM JUNG END LIM 12X500ML,23-08-2023,22-08-2024,"2.245,00",5033
12200067-SUPLEMENTO ALIM JUNG END LIM 12X500ML,25-09-2023,24-09-2024,900,5033
12200067-SUPLEMENTO ALIM JUNG END LIM 12X500ML,21-10-2023,20-10-2024,34800,5033
12200068-SUPLEMENTO ALIM JUNG END TANGE 12X500ML,21-10-2023,20-10-2024,1100,2180
12200068-SUPLEMENTO ALIM JUNG END TANGE 12X500ML,31-01-2024,30-01-2025,"1.440,00",2180
12200069-SUPLEMENTO ALIM JUNG LOW MOR-LI 12X500ML,24-12-2023,23-12-2024,"1.483,00",7702
12200070-SUPLEMENTO ALIM JUNG LOW UVA 12X500ML,30-07-2023,29-07-2024,400,7610
12200070-SUPLEMENTO ALIM JUNG LOW UVA 12X500ML,22-09-2023,21-09-2024,33600,7610
12200070-SUPLEMENTO ALIM JUNG LOW UVA 12X500ML,21-10-2023,20-10-2024,"1.104,00",7610
12200071-SUPLEMENTO ALIM ATDC UCOF CHOC 6X220G,21-08-2023,20-08-2024,72500,223
12200071-SUPLEMENTO ALIM ATDC UCOF CHOC 6X220G,24-08-2023,23-08-2024,63000,223
12200072-SUPLEMENTO ALIM ATDC UCOF CAPP 6X220G,18-08-2023,17-08-2024,17300,158
12200072-SUPLEMENTO ALIM ATDC UCOF CAPP 6X220G,07-12-2023,06-12-2024,6000,158
12200073-SUPLEMENTO ALIM ATDC UCOF CAPP 6X14X10G,09-11-2023,08-11-2024,"5.106,00",018
12200073-SUPLEMENTO ALIM ATDC UCOF CAPP 6X14X10G,16-11-2023,15-11-2024,60200,018
12200074-SUPLEMENTO ALIM ATDC UCOF CHOC 6X14X10G,03-10-2023,02-10-2024,2800,012
12200074-SUPLEMENTO ALIM ATDC UCOF CHOC 6X14X10G,04-10-2023,03-10-2024,58800,012
12200074-SUPLEMENTO ALIM ATDC UCOF CHOC 6X14X10G,05-10-2023,04-10-2024,"4.088,00",012
12200085-ALIMENTO CAST ATDC MINI MORANGO 27X200ML,27-11-2023,26-11-2024,"1.280,00",1111
12200086-ALIMENTO CAST ATDC MINI MAC-BAN 27X200ML,09-05-2023,08-05-2024,300,675
12200086-ALIMENTO CAST ATDC MINI MAC-BAN 27X200ML,19-01-2024,18-01-2025,74700,675
12200087-ALIMENTO CAST ATDC MINI BAUN 27X200ML,11-07-2023,10-07-2024,"1.402,00",488
12200088-ALIMENTO CAST ATDC MINI CHOC 27X200ML,28-11-2023,27-11-2024,"3.149,00",1495
12200090-ALIMENTO ATDC CHOCONUTS ZR LV 12X1L,03-12-2023,02-12-2024,"1.937,00",3709
12200091-ALIMENTO ATDC AVEIA LV 12X1L,30-08-2023,29-08-2024,"1.275,00",10843
12200091-ALIMENTO ATDC AVEIA LV 12X1L,04-12-2023,03-12-2024,"4.080,00",10843
12200092-ALIMENTO POSSIB ORIG LV 12X1L,27-10-2023,26-10-2024,"2.087,00",11107
12200092-ALIMENTO POSSIB ORIG LV 12X1L,02-12-2023,01-12-2024,"1.020,00",11107
12200092-ALIMENTO POSSIB ORIG LV 12X1L,15-01-2024,14-01-2025,"1.020,00",11107
12200095-ALIMENTO CAST POSSIB CHOC 1L,05-08-2023,04-08-2024,2500,10411
12200095-ALIMENTO CAST POSSIB CHOC 1L,27-08-2023,26-08-2024,"1.920,00",10411
12200095-ALIMENTO CAST POSSIB CHOC 1L,01-10-2023,30-09-2024,"2.040,00",10411
12200095-ALIMENTO CAST POSSIB CHOC 1L,28-10-2023,27-10-2024,"3.060,00",10411
12200095-ALIMENTO CAST POSSIB CHOC 1L,02-12-2023,01-12-2024,"1.020,00",10411
12200096-ALIMENTO ATDC BARISTA AVEIA LV 12X1L,29-08-2023,28-08-2024,62500,3240
12200096-ALIMENTO ATDC BARISTA AVEIA LV 12X1L,03-10-2023,02-10-2024,"1.020,00",3240
12200096-ALIMENTO ATDC BARISTA AVEIA LV 12X1L,05-12-2023,04-12-2024,"2.040,00",3240
12200102-SUPLEMENTO ALIM PPOWER CREAT PURE 6X300G,24-10-2023,23-10-2025,1800,000
12200103-SUPLEMENTO ALIM PPOWER NITRO 6X270G,24-10-2023,23-10-2024,5900,000
12200103-SUPLEMENTO ALIM PPOWER NITRO 6X270G,26-12-2023,25-12-2024,6000,000
12200105-SUPLEMENTO ALIM PPOWER CREAT MONO 6X300G,25-10-2023,24-10-2025,2800,000
12200105-SUPLEMENTO ALIM PPOWER CREAT MONO 6X300G,04-01-2024,03-01-2026,6000,000
12200107-SUPLEMENTO ALIM PPOWER DEF LIM 6X270G,27-10-2023,26-10-2024,4100,000
12200109-SUPLEMENTO ALIM PPOWER GREENS 6X360G,26-10-2023,25-10-2024,2900,000
12200113-SUPLEMENTO ALIM PPOWER PROT MOR 6X490G,03-11-2023,02-11-2024,4100,000
12200113-SUPLEMENTO ALIM PPOWER PROT MOR 6X490G,15-01-2024,14-01-2025,3000,000
12200114-SUPLEMENTO ALIM PPOWER PROT BAUN 6X490G,02-11-2023,01-11-2024,4100,000
12200115-SUPLEMENTO ALIM PPOWER PROT CHOC 6X490G,02-11-2023,01-11-2024,4100,000
12200115-SUPLEMENTO ALIM PPOWER PROT CHOC 6X490G,11-01-2024,10-01-2025,6000,000
12211006-CAFE TM BRASILEIRO TRAD VAC 20X250G,04-11-2022,04-05-2024,500,1067
12211006-CAFE TM BRASILEIRO TRAD VAC 20X250G,22-08-2023,19-02-2025,4000,1067
12211007-CAFE TM BRASILEIRO TRAD VAC 10X500G,22-12-2023,21-06-2025,"1.120,00",750
12211007-CAFE TM BRASILEIRO TRAD VAC 10X500G,20-11-2023,20-05-2025,15000,750
12211007-CAFE TM BRASILEIRO TRAD VAC 10X500G,22-11-2023,22-05-2025,1000,750
12211007-CAFE TM BRASILEIRO TRAD VAC 10X500G,22-12-2023,21-06-2025,"1.120,00",750
12211007-CAFE TM BRASILEIRO TRAD VAC 10X500G,03-01-2024,03-07-2025,88400,750
12211008-CAFE TM BRASILEIRO EF VAC 20X250G,21-06-2023,19-12-2024,"5.600,00",317
12211008-CAFE TM BRASILEIRO EF VAC 20X250G,22-06-2023,20-12-2024,"1.740,00",317
12211008-CAFE TM BRASILEIRO EF VAC 20X250G,19-07-2023,16-01-2025,"2.800,00",317
12211008-CAFE TM BRASILEIRO EF VAC 20X250G,20-07-2023,17-01-2025,"2.800,00",317
12211009-CAFE TM BRASILEIRO EF VAC 10X500G,07-11-2023,07-05-2025,97000,4217
12211009-CAFE TM BRASILEIRO EF VAC 10X500G,21-11-2023,21-05-2025,1900,4217
12211009-CAFE TM BRASILEIRO EF VAC 10X500G,01-12-2023,31-05-2025,2000,4217
12211009-CAFE TM BRASILEIRO EF VAC 10X500G,08-02-2024,08-08-2025,48000,4217
12211015-CAFE TM BRASILEIRO TRAD SPACK 20X250G,06-10-2023,05-10-2024,"1.170,00",3800
12211015-CAFE TM BRASILEIRO TRAD SPACK 20X250G,25-01-2024,24-01-2025,"2.800,00",3800
12211016-CAFE TM BRASILEIRO TRAD SPACK 10X500G,01-11-2023,31-10-2024,9000,46833
12211016-CAFE TM BRASILEIRO TRAD SPACK 10X500G,15-11-2023,14-11-2024,1800,46833
12211016-CAFE TM BRASILEIRO TRAD SPACK 10X500G,04-02-2024,03-02-2025,"6.280,00",46833
12211017-CAFE TM BRASILEIRO EF SPACK 20X250G,31-10-2023,30-10-2024,"1.796,00",2467
12211018-CAFE TM BRASILEIRO EF SPACK 10X500G,15-09-2023,14-09-2024,"2.700,00",40697
12211018-CAFE TM BRASILEIRO EF SPACK 10X500G,30-09-2023,29-09-2024,"3.600,00",40697
12211018-CAFE TM BRASILEIRO EF SPACK 10X500G,05-10-2023,04-10-2024,90000,40697
12211018-CAFE TM BRASILEIRO EF SPACK 10X500G,01-11-2023,31-10-2024,900,40697
12211038-KIT CAFE TM BRAS EF VAC 2X500G,28-02-2023,28-08-2024,13200,1600
12211038-KIT CAFE TM BRAS EF VAC 2X500G,10-03-2023,07-09-2024,"1.512,00",1600
12211039-KIT CAFE TM BRAS TRAD VAC 2X500G,23-12-2022,22-06-2024,25200,1600
12211039-KIT CAFE TM BRAS TRAD VAC 2X500G,05-01-2023,05-07-2024,50400,1600
12211039-KIT CAFE TM BRAS TRAD VAC 2X500G,25-01-2023,25-07-2024,50400,1600
12211039-KIT CAFE TM BRAS TRAD VAC 2X500G,11-02-2023,11-08-2024,"1.008,00",1600
12214003-CAFE CAPP BRASILEIRO BAUN PT 12X400G,15-05-2023,14-05-2024,18000,000
12214005-CAFE CAPP BRASILEIRO CHOC PT 12X400G,14-05-2023,13-05-2024,14400,016
12214009-CAFE CAPP BRAS TRAD PT 24X200G,09-08-2023,08-08-2024,7300,1131
12214009-CAFE CAPP BRAS TRAD PT 24X200G,13-12-2023,12-12-2024,"1.422,00",1131
12214010-CAFE CAPP BRAS CHOC PT 24X200G,24-06-2023,23-06-2024,2400,153
12214013-CAFE CAPP BRAS TRAD POTE 12X340G,29-07-2023,28-07-2024,48000,000
12216001-CAFE C-LEIT BRAS LT 12X300G,27-06-2023,26-06-2024,"1.344,00",000
12217400-FILTRO PAP BRASILEIRO 102-30 DES 40X30UN,25-08-2023,24-08-2026,"2.594,00",128
12217401-FILTRO PAP BRASILEIRO 103-30 DES 40X30UN,11-06-2023,10-06-2026,85000,223
12217401-FILTRO PAP BRASILEIRO 103-30 DES 40X30UN,25-08-2023,24-08-2026,"2.000,00",223
12221000-CAFE TM 3 FAZENDAS ALM 20X250G,15-07-2023,14-07-2024,"1.400,00",967
12221000-CAFE TM 3 FAZENDAS ALM 20X250G,04-08-2023,03-08-2024,"1.050,00",967
12221000-CAFE TM 3 FAZENDAS ALM 20X250G,05-08-2023,04-08-2024,"2.600,00",967
12221001-CAFE TM 3 FAZENDAS ALM 10X500G,21-09-2023,20-09-2024,"1.200,00",7033
12221001-CAFE TM 3 FAZENDAS ALM 10X500G,08-10-2023,07-10-2024,27900,7033
12221002-CAFE TM 3 FAZENDAS VAC 20X250G,17-04-2023,15-10-2024,"1.460,00",461
12221003-CAFE TM 3 FAZENDAS VAC 10X500G,02-06-2023,30-11-2024,3800,383
12221003-CAFE TM 3 FAZENDAS VAC 10X500G,05-01-2024,05-07-2025,30000,383
12281007-CAPSULA CAFE BRASILEIRO ESPR 8X10X8G,16-09-2023,16-03-2025,77200,250
20016650-FLOCAO MILHO D CLARA NOGM ALM 30X500G,29-12-2023,29-07-2024,39000,700
20212000-CAFE SOL BRASILEIRO MOIDO VD 24X100G,04-12-2021,03-12-2024,500,000
20212002-CAFE SOL BRASILEIRO MOIDO REF 24X50G,30-05-2023,29-05-2025,21600,240
20212002-CAFE SOL BRASILEIRO MOIDO REF 24X50G,21-06-2023,20-06-2025,21600,240
20212002-CAFE SOL BRASILEIRO MOIDO REF 24X50G,24-08-2023,23-08-2025,"1.726,00",240
20212002-CAFE SOL BRASILEIRO MOIDO REF 24X50G,11-10-2023,10-10-2025,"2.640,00",240
20212003-CAFE SOL BRASILEIRO GRAN REF 24X50G,03-05-2023,02-05-2025,76500,811
20212003-CAFE SOL BRASILEIRO GRAN REF 24X50G,31-10-2023,30-10-2025,"2.640,00",811
20212003-CAFE SOL BRASILEIRO GRAN REF 24X50G,14-11-2023,13-11-2025,"5.280,00",811
20902000-CAFE SOL 3C GRAN TRAD FC REF 24X50G,02-08-2023,01-08-2025,26400,6099
20902000-CAFE SOL 3C GRAN TRAD FC REF 24X50G,05-12-2023,04-12-2025,"2.160,00",6099
20902000-CAFE SOL 3C GRAN TRAD FC REF 24X50G,06-12-2023,05-12-2025,700,6099
20902000-CAFE SOL 3C GRAN TRAD FC REF 24X50G,13-01-2024,12-01-2026,"11.520,00",6099
20902001-CAFE SOL 3C PO EF FC REF 24X50G,01-07-2023,30-06-2025,24800,1350
20902001-CAFE SOL 3C PO EF FC REF 24X50G,20-09-2023,19-09-2025,"5.472,00",1350
20908089-ACUCAR TRES REFIN STICK 1000X5G,01-08-2023,31-07-2025,"11.999,00",333
20908090-ADOCANTE TRES SUCRA STICK 1000X800MG,12-06-2023,11-06-2026,1900,016
20909010-ADOCANTE 3C INST SUCRA SACHE 1000X600MG,02-07-2023,01-07-2026,2600,090
20909011-ACUCAR 3C INST REFIN SACHE 1008X5G,01-09-2023,31-08-2025,10800,2772
20909011-ACUCAR 3C INST REFIN SACHE 1008X5G,01-10-2023,30-09-2025,9000,2772
20909011-ACUCAR 3C INST REFIN SACHE 1008X5G,30-01-2024,29-01-2026,4200,2772
20911462-CAFE SOL 3C PO EF REF 24X40G,25-02-2023,24-02-2025,98400,000
20911463-CAFE SOL GRAN 3C TRAD REF 24X40G,03-02-2023,02-02-2025,"16.369,00",000
20911494-CAFE SOL GRAN 3C TRAD REF 12X40G,09-12-2023,08-12-2025,12000,000
20911496-CAFE SOL 3C PO EF REF 12X40G,05-12-2023,04-12-2025,12000,000
